"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"76",,"76",,"ЖЕНИТЬСЯ","MARRY (AS MAN)","pfv",,,,"хъалла кабигиб","qal-la ka-b-ig-ib","R(house)-GEN PV-HPL-R(LV.sit)-AOR[3]","q͡χʰalla kʰejgib",,,,,,,,,,,,,,,"itsari"
"76",,"76",,,,"ipfv","aux",,,"хъалла кабиргар","qal-la ka-b-irg-ar","R(house)-GEN PV-HPL-R(LV.sit)-HAB.3","q͡χʰalla kʰabirgar",,,,,,,,,,,,,,"<strong>check hab. ending</strong>","itsari"
"77",,"77",,"ВЫЙТИ.ЗАМУЖ","MARRY (AS MAN)","pfv",,,,"хьади рярун","xadi r-aˁr-un","R(ST) CL2-R(LV.go).PFV-AOR[3]","xadi raˁrun",,,,,,,,,,,,,,"<strong>check ra7un or rarun; meaning/status of xadi?</strong>","itsari"
"77",,"77",,,,"ipfv","aux",,,"хьади рахьар","xadi r-ax-ar","R(ST) CL2-R(LV.go).IPFV-HAB.3",,,,,,,,,,,,,,,,"itsari"
"77",,"77",,,,"inf.pfv","aux",,,"хьади рягӀянай","xadi r-aˁʡ-aˁnaj","R(ST) CL2-R(LV.go).PFV-INF",,,,,,,,,,,,,,,,"itsari"
"78",,"78",,"СВАДЬБА","WEDDING","sg",,,,"микъ","miqː","R(wedding)","miqː",,,,,,,,,,,,,,,"itsari"
"78",,"78",,,,"pl","aux",,,"микъби","miqː-bi","R(wedding)-PL","miqːbi",,,,,,,,,,,,,,,"itsari"
"79",,"79",,"ОТЕЦ","FATHER","sg",,,,"ттатти","tːatːi","R(father)","tːatːi",,,,,,,,,,,,,,,"itsari"
"79",,"79",,,,"pl","aux",,,"ттаттби","tːatː-bi","R(father)-PL","tːatːbi","предки","ancestors",,,,,,,,,,,,,"itsari"
"80",,"80",,"МАТЬ","MOTHER","sg",,,,"ваба","waba","R(mother)","waba",,,,,,,,,,,,,,,"itsari"
"80",,"80",,,,"pl","aux",,,"вабни","wab-ni","R(mother)-PL","wabni",,,,,,,,,,,,,,,"itsari"
"81","68","81",,"СЫН","SON","sg",,,,"дёрхӀё","duˁrħuˁ","R(boy)","duˁrħuˁ","мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,,"itsari"
"81","68","81",,,,"pl","aux",,,"дегьни","deh-ni","R(boy)-PL","dehni",,,,,,,,,,,,,,,"itsari"
"82","69","82",,"ДОЧЬ","DAUGHTER","sg",,,,"рирсси","rirsːi","R(girl)","rirsːi","девочка, дочь","girl, daughter",,,,,,,,,,,,,"itsari"
"82","69","82",,,,"pl","aux",,,"рирсби","rirs-bi","R(girl)-PL","rirsbi",,,,,,,,,,,,,,,"itsari"
"83",,"83",,"БРАТ","BROTHER","sg",,,,"уцци","ucːi","R(brother)","ut͡sːi",,,,,,,,,,,,,,,"itsari"
"83",,"83",,,,"pl","aux",,,"уццби","ucː-bi","R(brother)-PL","ut͡sːbi",,,,,,,,,,,,,,,"itsari"
