"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"99",,"99",,,,"pl","aux",,,"йоццилӀол вошул",,,,,,,,,,,,,,,,,,"zilo"
"100",,"100",,"ПЛЕМЯННИЦА (ДОЧЬ БРАТА)","NIECE (DAUGHTER OF BROTHER)","sg",,,,"воццуй йоши",,,,,,,,,,,,,,,,,,"zilo"
"100",,"100",,,,"pl","aux",,,"воццуйил йошибол",,,,,,,,,,,,,,,,,,"zilo"
"101",,"101",,"ПЛЕМЯННИЦА (ДОЧЬ СЕСТРЫ)","NIECE (DAUGHTER OF SISTER)","sg",,,,"йоццилӀи йоши",,,,,,,,,,,,,,,,,,"zilo"
"101",,"101",,,,"pl","aux",,,"йоццилӀол йошибол",,,,,,,,,,,,,,,,,,"zilo"
"102",,"102",,"ДВОЮРОДНЫЙ БРАТ","COUSIN (MALE)","sg",,,,"ваццал",,,,,,,,,,,,,,,,,,"zilo"
"102",,"102",,,,"pl","aux",,,"ваццаладул",,,,,,,,,,,,,,,,,,"zilo"
"103",,"103",,"ДВОЮРОДНАЯ СЕСТРА","COUSIN (FEMALE)","sg",,,,"йаццал",,,,,,,,,,,,,,,,,,"zilo"
"103",,"103",,,,"pl","aux",,,"йаццаладул",,,,,,,,,,,,,,,,,,"zilo"
"104",,"104",,"ТЕСТЬ","FATHER-IN-LAW (FATHER OF WIFE)","sg",,,,"имакьору",,,,,,,,,,,,,,,,,,"zilo"
"104",,"104",,,,"pl","aux",,,"имакьордобил",,,,,,,,,,,,,,,,,,"zilo"
"105","104","105",,"СВЁКОР","FATHER-IN-LAW (FATHER OF HUSBAND)","sg",,,,"имакьору",,,,,,,,,,,,,,,,,,"zilo"
"105",,"105",,,,"pl","aux",,,"имакьордобил",,,,,,,,,,,,,,,,,,"zilo"
"106",,"106",,"ТЁЩА","MOTHER-IN-LAW (MOTHER OF WIFE)","sg",,,,"илакьору",,,,,,,,,,,,,,,,,,"zilo"
"106",,"106",,,,"pl","aux",,,"илакьордобил",,,,,,,,,,,,,,,,,,"zilo"
"107","106","107",,"СВЕКРОВЬ","MOTHER-IN-LAW (MOTHER OF HUSBAND)","sg",,,,"илакьору",,,,,,,,,,,,,,,,,,"zilo"
"107",,"107",,,,"pl","aux",,,"илакьордобил",,,,,,,,,,,,,,,,,,"zilo"
"108",,"108",,"ЗЯТЬ","SON-IN-LAW","sg",,,,"нусо",,,,,,,,,,,,,,,,,,"zilo"
"108",,"108",,,,"pl","aux",,,"нусол",,,,,,,,,,,,,,,,,,"zilo"
"109",,"109",,"СНОХА","DAUGHTER-IN-LAW (OF A MAN)","sg",,,,"нуса",,,,,,,,,,,,,,,,,,"zilo"
"109",,"109",,,,"pl","aux",,,"нусибадул",,,,,,,,,,,,,,,,,,"zilo"
"110","109","110",,"НЕВЕСТКА","DAUGHTER-IN-LAW (OF A WOMAN)","sg",,,,"нуса",,,,,,,,,,,,,,,,,,"zilo"
"110",,"110",,,,"pl","aux",,,"нусибадул",,,,,,,,,,,,,,,,,,"zilo"
"111",,"111",,"ОТЧИМ","STEPFATHER","sg",,"opt",,"бесдал има",,,,,,,,,,,,,,,,,,"zilo"
"111",,"111",,,,"pl","aux","opt",,"бесдалол имадул",,,,,,,,,,,,,,,,,,"zilo"
"112",,"112",,"МАЧЕХА","STEPMOTHER","sg",,"opt",,"бесдал ила",,,,,,,,,,,,,,,,,,"zilo"
"112",,"112",,,,"pl","aux","opt",,"бесдалол илобил",,,,,,,,,,,,,,,,,,"zilo"
"113",,"113",,"ПАСЫНОК","STEPSON","sg",,"opt",,"бесдал вошо",,,,,,,,,,,,,,,,,,"zilo"
"113",,"113",,,,"pl","aux","opt",,"бесдалол вошул",,,,,,,,,,,,,,,,,,"zilo"
"114",,"114",,"ПАДЧЕРИЦА","STEPDAUGHTER","sg",,"opt",,"бесдал йоши",,,,,,,,,,,,,,,,,,"zilo"
"114",,"114",,,,"pl","aux","opt",,"бесдалол йошибол",,,,,,,,,,,,,,,,,,"zilo"
"115",,"115",,"СИРОТА","ORPHAN","sg",,,,"бесдал",,,,,,,,,,,,,,,,,,"zilo"
"115",,"115",,,,"pl","aux",,,"бесдалол",,,,,,,,,,,,,,,,,,"zilo"
"116",,"116",,"ВДОВА","WIDOW","sg",,,,"серо",,,,,,,,,,,,,,,,,,"zilo"
"116",,"116",,,,"pl","aux",,,"серол",,,,,,,,,,,,,,,,,,"zilo"
"117","116","117",,"ВДОВЕЦ","WIDOWER","sg",,,,"серо",,,,,,,,,,,,,,,,,,"zilo"
"117",,"117",,,,"pl","aux",,,"серол",,,,,,,,,,,,,,,,,,"zilo"
"118",,"118",,"СЕМЬЯ","FAMILY","sg",,,,"хъизан",,,,,,,,,,,,,,,,,,"zilo"
"118",,"118",,,,"pl","aux",,,"хъизамил",,,,,,,,,,,,,,,,,,"zilo"
"119",,"119",,"РОД","CLAN","sg",,,,"тухум",,,,,,,,,,,,,,,,,,"zilo"
"119",,"119",,,,"pl","aux",,,"тухумол",,,,,,,,,,,,,,,,,,"zilo"
"120",,"120",,"Я","ME","nom",,,,"ден",,,,,,,,,,,,,,,,,,"zilo"
"120",,"120",,,,"obl","aux",,,"денни",,,,,,,,,,,,,,,,,,"zilo"
"121",,"121",,"ТЫ","THOU","nom",,,,"мен",,,,,,,,,,,,,,,,,,"zilo"
